DateTimeStamp,BASSpaceSP,CCValve,DAT,FanSS,FanStatus,HCValve,OADamper,OccupiedMode,SpaceTemp,Occ,stdbusinesshours
12/8/2017 12:00:00 AM,75,0,109.6,0,0,0,1,0,70.8,1,0
12/8/2017 12:10:00 AM,75,0,109.7,0,0,0,1,0,70.7,1,0
12/8/2017 12:20:00 AM,75,0,109.9,0,0,0,1,0,70.5,1,0
12/8/2017 12:30:00 AM,75,0,109.7,0,0,0,1,0,70.5,1,0
12/8/2017 12:40:00 AM,75,0,109.9,0,0,0,1,0,70.3,1,0
12/8/2017 12:50:00 AM,75,0,109.7,0,0,0,1,0,70.3,1,0
12/8/2017 1:00:00 AM,75,0,109.8,0,0,0,1,0,70.2,1,0
12/8/2017 1:10:00 AM,75,0,110,0,0,0,1,0,70,1,0
12/8/2017 1:20:00 AM,75,0,109.8,0,0,0,1,0,70,1,0
12/8/2017 1:30:00 AM,75,0,109.7,0,0,0,1,0,69.8,1,0
12/8/2017 1:40:00 AM,75,0,109.7,0,0,0,1,0,69.8,1,0
12/8/2017 1:50:00 AM,75,0,109.7,0,0,0,1,0,69.6,1,0
12/8/2017 2:00:00 AM,75,0,109.7,0,0,0,1,0,69.5,1,0
12/8/2017 2:10:00 AM,75,0,109.8,0,0,0,1,0,69.4,1,0
12/8/2017 2:20:00 AM,75,0,109.7,0,0,0,1,0,69.3,1,0
12/8/2017 2:30:00 AM,75,0,109.7,0,0,0,1,0,69.3,1,0
12/8/2017 2:40:00 AM,75,0,109.5,0,0,0,1,0,69.2,1,0
12/8/2017 2:50:00 AM,75,0,109.5,0,0,0,1,0,69.2,1,0
12/8/2017 3:00:00 AM,75,0,109.1,0,0,0,1,0,69,1,0
12/8/2017 3:10:00 AM,75,0,108.9,0,0,0,1,0,68.8,1,0
12/8/2017 3:20:00 AM,75,0,109.1,0,0,0,1,0,68.7,1,0
12/8/2017 3:30:00 AM,75,0,109.3,0,0,0,1,0,68.7,1,0
12/8/2017 3:40:00 AM,75,0,109.3,0,0,0,1,0,68.7,1,0
12/8/2017 3:50:00 AM,75,0,109.3,0,0,0,1,0,68.5,1,0
12/8/2017 4:00:00 AM,75,0,109.3,0,0,0,1,0,68.5,1,0
12/8/2017 4:10:00 AM,75,0,109.3,0,0,0,1,0,68.5,1,0
12/8/2017 4:20:00 AM,75,0,109.3,0,0,0,1,0,68.3,1,0
12/8/2017 4:30:00 AM,75,0,109.3,0,0,0,1,0,68.3,1,0
12/8/2017 4:40:00 AM,75,0,109.3,0,0,0,1,0,68.2,1,0
12/8/2017 4:50:00 AM,75,0,109.1,0,0,0,1,0,68,1,0
12/8/2017 5:00:00 AM,75,0,108.6,0,0,0,1,0,68,1,0
12/8/2017 5:10:00 AM,75,0,84,1,1,40.0625,1,0,68,1,0
12/8/2017 5:20:00 AM,75,0,96.5,1,1,78.48438,1,0,68.1,1,0
12/8/2017 5:30:00 AM,75,0,94.7,1,1,65.54688,1,0,68.2,1,0
12/8/2017 5:40:00 AM,75,0,94.8,1,1,72.28125,1,0,68.3,1,0
12/8/2017 5:50:00 AM,75,0,95.8,1,1,70.75,1,0,68.3,1,0
12/8/2017 6:00:00 AM,75,0,94.3,1,1,67.53125,1,0,68.3,1,0
12/8/2017 6:10:00 AM,75,0,94.1,1,1,78.89063,1,0,68.4,1,0
12/8/2017 6:20:00 AM,75,0,96.2,1,1,77.29688,1,0,68.5,1,0
12/8/2017 6:30:00 AM,75,0,95.9,1,1,69.125,1,0,68.5,1,0
12/8/2017 6:40:00 AM,75,0,93.6,1,1,71.60938,1,0,68.6,1,0
12/8/2017 6:50:00 AM,75,0,94.8,1,1,80.25,1,0,68.7,1,0
12/8/2017 7:00:00 AM,75,0,96,1,1,75.40625,1,0,68.8,1,0
12/8/2017 7:10:00 AM,75,0,95,1,1,71.75,1,1,68.8,0,0
12/8/2017 7:20:00 AM,75,0,95,1,1,70.57813,1,1,68.9,0,0
12/8/2017 7:30:00 AM,75,0,94.5,1,1,66.25,1,1,69,0,0
12/8/2017 7:40:00 AM,75,0,95.4,1,1,69.48438,1,1,69,0,0
12/8/2017 7:50:00 AM,75,0,94.5,1,1,70.15625,1,1,69,0,0
12/8/2017 8:00:00 AM,75,0,95,1,1,70.79688,1,1,69.2,0,1
12/8/2017 8:10:00 AM,75,0,95.7,1,1,67.85938,1,1,69.2,0,1
12/8/2017 8:20:00 AM,75,0,94.7,1,1,64.875,1,1,69.4,0,1
12/8/2017 8:30:00 AM,75,0,95.2,1,1,63.97656,1,1,69.8,0,1
12/8/2017 8:40:00 AM,75,0,93.3,1,1,80.76563,1,1,70.1,0,1
12/8/2017 8:50:00 AM,75,0,95.3,1,1,84.4375,1,1,70.3,0,1
12/8/2017 9:00:00 AM,75,0,94.7,1,1,78.76563,1,1,70.5,0,1
12/8/2017 9:10:00 AM,75,0,94.5,1,1,79.57813,1,1,70.8,0,1
12/8/2017 9:20:00 AM,75,0,95,1,1,82.40625,1,1,70.9,0,1
12/8/2017 9:30:00 AM,75,0,94.8,1,1,83.15625,1,1,71.1,0,1
